circuitId,circuit_name,country,lat,lng,total_races,avg_delta,avg_qualifying_gap,lap_time_variance,best_strategy_stops,avg_1stop_position,avg_2stop_position,overtaking_score,cluster_id,cluster_label,cluster,qualifying_lock_in_score,optimal_stop_count,compound_bias
1,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,29,2.7241379310344827,2430.1310592459604,37249.83068637052,1.0,6.312,7.9714285714285715,Low,0,Qualifying-Dominant,0,75.0,1,0
2,Sepang International Circuit,Malaysia,2.76083,101.738,19,2.41522491349481,1287.359649122807,61521.251013483234,1.0,7.7555555555555555,8.347457627118644,Medium,0,Qualifying-Dominant,0,75.0,1,0
3,Bahrain International Circuit,Bahrain,26.0325,50.5106,22,1.3270777479892761,1684.1225382932166,18897.47663462798,1.0,7.653846153846154,8.632075471698114,Low,2,Strategy-Dominant,2,55.0,1,0
4,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,35,2.085661080074488,1976.6326889279437,6390.531099938405,1.0,8.30952380952381,8.386986301369863,Low,0,Qualifying-Dominant,0,75.0,1,0
5,Istanbul Park,Turkey,40.9517,29.405,9,0.78125,2403.4973262032086,5263.404435252168,2.0,10.021739130434783,9.186046511627907,Low,1,Mixed,1,75.6,2,0
6,Circuit de Monaco,Monaco,43.7347,7.42056,71,3.5759577278731838,1848.9709302325582,49268.010955764286,1.0,7.424107142857143,8.274390243902438,Medium,0,Qualifying-Dominant,0,75.0,1,0
7,Circuit Gilles Villeneuve,Canada,45.5,-73.5228,44,3.407665505226481,1837.956701030928,81223.62450440918,1.0,7.909090909090909,8.211640211640212,Medium,2,Strategy-Dominant,2,55.0,1,0
8,Circuit de Nevers Magny-Cours,France,46.8642,3.16361,18,2.326771653543307,1572.8877551020407,,2.0,11.0,7.921875,N/A,0,Qualifying-Dominant,0,77.3,2,0
9,Silverstone Circuit,UK,52.0786,-1.01694,60,3.072018890200708,2293.8585526315787,84268.26658407945,1.0,8.608333333333333,8.678018575851393,Medium,2,Strategy-Dominant,2,55.0,1,0
10,Hockenheimring,Germany,49.3278,8.56583,37,3.5898520084566594,1372.5576323987539,8060.454980867035,1.0,6.527027027027027,7.90990990990991,Low,1,Mixed,1,60.1,1,0
11,Hungaroring,Hungary,47.5789,19.2486,40,2.4285714285714284,1964.1935483870968,16183.771489771749,2.0,10.054347826086957,8.677655677655677,Low,0,Qualifying-Dominant,0,75.0,2,0
12,Valencia Street Circuit,Spain,39.4589,-0.331667,5,1.5612244897959184,1416.3873873873874,9682.664345619256,2.0,10.384615384615385,9.6875,Low,1,Mixed,1,77.5,2,0
13,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139,58,3.095617529880478,2630.277559055118,20709.189585219803,2.0,9.024691358024691,8.143356643356643,Low,2,Strategy-Dominant,2,55.0,2,0
14,Autodromo Nazionale di Monza,Italy,45.6156,9.28111,75,3.5479591836734694,1725.5625,18915.841884370795,1.0,8.47635135135135,9.189655172413794,Low,2,Strategy-Dominant,2,55.0,1,0
15,Marina Bay Street Circuit,Singapore,1.2914,103.864,16,1.7164750957854407,2186.841791044776,12925.917576392681,1.0,7.712643678160919,9.178947368421053,Low,0,Qualifying-Dominant,0,75.0,1,0
16,Fuji Speedway,Japan,35.3717,138.927,4,4.3061224489795915,1046.8095238095239,,2.0,8.333333333333334,7.461538461538462,N/A,1,Mixed,1,47.2,2,0
17,Shanghai International Circuit,China,31.3389,121.22,19,1.2801204819277108,2013.1133501259446,10307.833127273485,2.0,9.28125,9.017857142857142,Low,2,Strategy-Dominant,2,55.0,2,0
18,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,42,2.8372093023255816,1846.3259385665528,45558.54174974446,1.0,7.298701298701299,8.190954773869347,Medium,2,Strategy-Dominant,2,55.0,1,0
19,Indianapolis Motor Speedway,USA,39.795,-86.2347,19,6.5130111524163565,1466.984,,2.0,8.8125,6.020408163265306,N/A,2,Strategy-Dominant,2,43.1,2,0
20,Nürburgring,Germany,50.3356,6.9475,41,3.9942748091603053,2311.2478260869566,8062.619497845558,1.0,7.555555555555555,8.373333333333333,Low,1,Mixed,1,67.5,1,0
21,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,32,3.475195822454308,1754.5333333333333,43068.95655586234,2.0,9.25,6.882352941176471,Low,1,Mixed,1,59.5,2,0
22,Suzuka Circuit,Japan,34.8431,136.541,36,2.3267857142857142,3857.388,40714.51189068699,2.0,9.065420560747663,8.39607843137255,Low,0,Qualifying-Dominant,0,75.0,2,0
70,Red Bull Ring,Austria,47.2197,14.7647,39,3.486842105263158,1668.1635802469136,6838.261010722639,1.0,8.0,8.68695652173913,Low,2,Strategy-Dominant,2,55.0,1,0
25,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593,20,3.6872037914691944,3063.282608695652,,2.0,7.6875,5.15,N/A,1,Mixed,1,68.0,2,0
26,Circuito de Jerez,Spain,36.7083,-6.03417,7,3.4835164835164836,2095.3076923076924,,1.0,6.0,8.962962962962964,N/A,1,Mixed,1,73.5,1,0
27,Autódromo do Estoril,Portugal,38.7506,-9.39417,13,4.320441988950276,2691.18,,2.0,12.25,8.833333333333334,N/A,1,Mixed,1,74.8,2,0
28,Okayama International Circuit,Japan,34.915,134.221,2,4.285714285714286,2724.66,,2.0,10.0,7.375,N/A,1,Mixed,1,70.7,2,0
29,Adelaide Street Circuit,Australia,-34.9272,138.617,11,5.487179487179487,2424.346153846154,,2.0,,5.846153846153846,N/A,1,Mixed,1,60.9,2,0
30,Kyalami,South Africa,-25.9894,28.0767,20,5.062761506276151,,,1.0,,,N/A,1,Mixed,1,65.7,1,0
31,Donington Park,UK,52.8306,-1.37528,1,6.2,,,1.0,,,N/A,1,Mixed,1,81.3,1,0
32,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907,25,2.8941176470588235,1606.2626262626263,20348.477480869515,1.0,8.96039603960396,9.880597014925373,Low,1,Mixed,1,64.8,1,0
33,Phoenix street circuit,USA,33.4479,-112.075,3,7.233333333333333,,,1.0,,,N/A,1,Mixed,1,47.6,1,0
34,Circuit Paul Ricard,France,43.2506,5.79167,18,3.4052044609665426,1908.448717948718,8140.380202569251,1.0,9.40983606557377,11.25,Low,1,Mixed,1,67.5,1,0
36,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395,10,6.1875,,,1.0,,,N/A,1,Mixed,1,58.3,1,0
37,Detroit Street Circuit,USA,42.3298,-83.0401,7,6.357142857142857,,,1.0,,,N/A,1,Mixed,1,62.2,1,0
38,Brands Hatch,UK,51.3569,0.263056,14,5.233766233766234,,,1.0,,,N/A,1,Mixed,1,67.5,1,0
39,Circuit Park Zandvoort,Netherlands,52.3888,4.54092,35,3.3727959697733,2205.59793814433,55871.754553679035,1.0,9.37037037037037,10.56,Medium,1,Mixed,1,52.9,1,0
40,Zolder,Belgium,50.9894,5.25694,10,6.229357798165138,,,1.0,,,N/A,1,Mixed,1,64.4,1,0
41,Dijon-Prenois,France,47.3625,4.89913,6,3.1758241758241756,,,1.0,,,N/A,1,Mixed,1,69.9,1,0
42,Fair Park,USA,32.7774,-96.7587,1,7.142857142857143,,,1.0,,,N/A,1,Mixed,1,22.1,1,0
43,Long Beach,USA,33.7651,-118.189,8,5.7215189873417724,,,1.0,,,N/A,1,Mixed,1,44.3,1,0
44,Las Vegas Street Circuit,USA,36.1162,-115.174,2,4.8,,,1.0,,,N/A,1,Mixed,1,77.5,1,0
45,Jarama,Spain,40.6171,-3.58558,9,5.076190476190476,,,1.0,,,N/A,1,Mixed,1,72.5,1,0
46,Watkins Glen,USA,42.3369,-76.9272,20,4.62037037037037,,,1.0,,,N/A,1,Mixed,1,61.5,1,0
47,Scandinavian Raceway,Sweden,57.2653,13.6042,6,4.103448275862069,,,1.0,,,N/A,1,Mixed,1,63.0,1,0
48,Mosport International Raceway,Canada,44.0481,-78.6756,8,3.0754716981132075,,,1.0,,,N/A,1,Mixed,1,65.8,1,0
49,Montjuïc,Spain,41.3664,2.15167,4,5.081081081081081,,,1.0,,,N/A,1,Mixed,1,42.3,1,0
50,Nivelles-Baulers,Belgium,50.6211,4.32694,2,6.0,,,1.0,,,N/A,1,Mixed,1,71.4,1,0
51,Charade Circuit,France,45.7472,3.03889,4,2.5869565217391304,,,1.0,,,N/A,1,Mixed,1,62.4,1,0
24,Yas Marina Circuit,UAE,24.4672,54.6031,17,1.1209150326797386,1703.7301136363637,7294.458375201269,2.0,9.496598639455783,9.441379310344828,Low,1,Mixed,1,76.9,2,0
52,Circuit Mont-Tremblant,Canada,46.1877,-74.6099,2,3.0,,,1.0,,,N/A,1,Mixed,1,34.9,1,0
53,Rouen-Les-Essarts,France,49.3306,1.00458,5,2.6122448979591835,,,1.0,,,N/A,1,Mixed,1,63.0,1,0
54,Le Mans,France,47.95,0.224231,1,5.2,,,1.0,,,N/A,1,Mixed,1,88.2,1,0
55,Reims-Gueux,France,49.2542,3.93083,11,4.235849056603773,,,1.0,,,N/A,1,Mixed,1,51.4,1,0
56,Prince George Circuit,South Africa,-33.0486,27.8736,3,3.03125,,,1.0,,,N/A,1,Mixed,1,70.1,1,0
57,Zeltweg,Austria,47.2039,14.7478,1,7.571428571428571,,,1.0,,,N/A,1,Mixed,1,24.8,1,0
58,Aintree,UK,53.4769,-2.94056,5,3.6,,,1.0,,,N/A,1,Mixed,1,73.2,1,0
59,Circuito da Boavista,Portugal,41.1705,-8.67325,2,2.3125,,,1.0,,,N/A,1,Mixed,1,74.6,1,0
